id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
33992,blinkit,"[{""lat"" : 12.91, ""lon"" : 77.6}, {""lat"" : 12.91, ""lon"" : 77.61}, {""lat"" : 12.9, ""lon"" : 77.61}]","{""id"" : ""56d8532b-eb3e-4483-a43b-95b2d71f33ce"", ""store_id"" : ""33992"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.91, ""queried_longitude"" : 77.6, ""lat"" : 12.91, ""lng"" : 77.6, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:29:24.5923+00,2025-03-13 02:29:24.5923+00,,"12.91,77.61","{""types"":[""establishment"",""point_of_interest"",""transit_station""],""geometry"":{""location"":{""lat"":12.910023,""lng"":77.609943},""viewport"":{""northeast"":{""lat"":12.9113719802915,""lng"":77.6112919802915},""southwest"":{""lat"":12.9086740197085,""lng"":77.60859401970849}},""location_type"":""GEOMETRIC_CENTER""},""place_id"":""ChIJ42kn5uIUrjsRCTE9rWSuuCA"",""plus_code"":{""global_code"":""7J4VWJ65+2X"",""compound_code"":""WJ65+2X Bengaluru, Karnataka, India""},""formatted_address"":""Chamundeshwari, Mahadeshwara Nagar, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India"",""navigation_points"":[{""location"":{""latitude"":12.9100315,""longitude"":77.6099627},""road_name"":""""}],""address_components"":[{""types"":[""establishment"",""point_of_interest"",""transit_station""],""long_name"":""Chamundeshwari"",""short_name"":""Chamundeshwari""},{""types"":[""political"",""sublocality"",""sublocality_level_3""],""long_name"":""Mahadeshwara Nagar"",""short_name"":""Mahadeshwara Nagar""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""BTM 2nd Stage"",""short_name"":""BTM 2nd Stage""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""BTM Layout"",""short_name"":""BTM Layout""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560076"",""short_name"":""560076""}]}",BTM Layout,Bangalore,"12.91,77.61"
340,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8331839,77.6844586""","{""full"":""Ground Floor, Sy no 109/1,Kammasandra Village, Attibele Hobli, Anekal Taluka, Bengaluru-560100""}",Anekal Taluka,Bangalore,"12.83,77.68"
34134,blinkit,"[{""lat"" : 13.12, ""lon"" : 77.62}, {""lat"" : 13.12, ""lon"" : 77.65}, {""lat"" : 13.12, ""lon"" : 77.61}, {""lat"" : 13.11, ""lon"" : 77.61}, {""lat"" : 13.13, ""lon"" : 77.64}, {""lat"" : 13.12, ""lon"" : 77.63}, {""lat"" : 13.13, ""lon"" : 77.63}, {""lat"" : 13.12, ""lon"" : 77.64}]","{""id"" : ""c2361199-2045-470e-8236-0d573f5b09be"", ""store_id"" : ""34134"", ""chain_id"" : ""1383"", ""queried_latitude"" : 13.11, ""queried_longitude"" : 77.61, ""lat"" : 13.11, ""lng"" : 77.61, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:30:24.884951+00,2025-03-13 02:30:24.884951+00,,"13.12,77.63","{""types"":[""premise"",""street_address""],""geometry"":{""bounds"":{""northeast"":{""lat"":13.1196608,""lng"":77.63019059999999},""southwest"":{""lat"":13.1195819,""lng"":77.6300754}},""location"":{""lat"":13.119618,""lng"":77.6301424},""viewport"":{""northeast"":{""lat"":13.1209703302915,""lng"":77.6314819802915},""southwest"":{""lat"":13.1182723697085,""lng"":77.62878401970849}},""location_type"":""ROOFTOP""},""place_id"":""ChIJ_d77MBMZrjsRqQev25tWhEQ"",""formatted_address"":""4J9J+V25, Durgamba Layout, Kattigenahalli, Sathanur, Bengaluru, Karnataka 560064, India"",""navigation_points"":[{""location"":{""latitude"":13.119619,""longitude"":77.6301345},""road_name"":""""}],""address_components"":[{""types"":[""plus_code""],""long_name"":""4J9J+V25"",""short_name"":""4J9J+V25""},{""types"":[""neighborhood"",""political""],""long_name"":""Durgamba Layout"",""short_name"":""Durgamba Layout""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Kattigenahalli"",""short_name"":""Kattigenahalli""},{""types"":[""locality"",""political""],""long_name"":""Sathanur"",""short_name"":""Sathanur""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560064"",""short_name"":""560064""}]}",Sathanur,Bangalore,"13.12,77.63"
34262,blinkit,"[{""lat"" : 12.9, ""lon"" : 77.64}]","{""id"" : ""a012fab1-157d-49c5-8106-7a50be4701dd"", ""store_id"" : ""34262"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.9, ""queried_longitude"" : 77.64, ""lat"" : 12.9, ""lng"" : 77.64, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:32:20.563156+00,2025-03-13 02:32:20.563156+00,,"12.9,77.64","{""types"":[""premise"",""street_address""],""geometry"":{""location"":{""lat"":12.8999995,""lng"":77.6400807},""viewport"":{""northeast"":{""lat"":12.9013484802915,""lng"":77.64142968029151},""southwest"":{""lat"":12.8986505197085,""lng"":77.6387317197085}},""location_type"":""ROOFTOP""},""place_id"":""ChIJgdChEr0UrjsRXGqlsieUWWU"",""formatted_address"":""698, 3rd Main Rd, ITI Layout, Sector 7, Garvebhavi Palya, Bengaluru, Karnataka 560068, India"",""navigation_points"":[{""location"":{""latitude"":12.9000057,""longitude"":77.640014},""road_name"":""""}],""address_components"":[{""types"":[""street_number""],""long_name"":""698"",""short_name"":""698""},{""types"":[""route""],""long_name"":""3rd Main Road"",""short_name"":""3rd Main Rd""},{""types"":[""political"",""sublocality"",""sublocality_level_3""],""long_name"":""ITI Layout"",""short_name"":""ITI Layout""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Sector 7"",""short_name"":""Sector 7""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Garvebhavi Palya"",""short_name"":""Garvebhavi Palya""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560068"",""short_name"":""560068""}]}",Garvebhavi Palya,Bangalore,"12.90,77.64"
34288,blinkit,"[{""lat"" : 12.87, ""lon"" : 77.76}, {""lat"" : 12.86, ""lon"" : 77.8}, {""lat"" : 12.85, ""lon"" : 77.77}, {""lat"" : 12.88, ""lon"" : 77.79}, {""lat"" : 12.88, ""lon"" : 77.75}, {""lat"" : 12.87, ""lon"" : 77.79}, {""lat"" : 12.86, ""lon"" : 77.77}, {""lat"" : 12.88, ""lon"" : 77.76}, {""lat"" : 12.88, ""lon"" : 77.78}, {""lat"" : 12.87, ""lon"" : 77.77}, {""lat"" : 12.86, ""lon"" : 77.78}, {""lat"" : 12.88, ""lon"" : 77.77}, {""lat"" : 12.89, ""lon"" : 77.77}, {""lat"" : 12.87, ""lon"" : 77.78}, {""lat"" : 12.86, ""lon"" : 77.79}, {""lat"" : 12.86, ""lon"" : 77.81}, {""lat"" : 12.85, ""lon"" : 77.78}]","{""id"" : ""1820e725-3a60-44e8-9015-d057ec9cd4f4"", ""store_id"" : ""34288"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.88, ""queried_longitude"" : 77.75, ""lat"" : 12.88, ""lng"" : 77.75, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 07:37:45.148272+00,2025-03-13 07:37:45.148272+00,,"12.87,77.78","{""types"":[""plus_code""],""geometry"":{""bounds"":{""northeast"":{""lat"":12.870125,""lng"":77.78},""southwest"":{""lat"":12.87,""lng"":77.77987499999999}},""location"":{""lat"":12.87,""lng"":77.78},""viewport"":{""northeast"":{""lat"":12.8714114802915,""lng"":77.7812864802915},""southwest"":{""lat"":12.8687135197085,""lng"":77.77858851970849}},""location_type"":""GEOMETRIC_CENTER""},""place_id"":""GhIJPQrXo3C9KUARUrgehetxU0A"",""plus_code"":{""global_code"":""7J4VVQCH+2X"",""compound_code"":""VQCH+2X Bengaluru, Karnataka, India""},""formatted_address"":""VQCH+2X Bengaluru, Karnataka, India"",""address_components"":[{""types"":[""plus_code""],""long_name"":""VQCH+2X"",""short_name"":""VQCH+2X""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""}]}",Bengaluru Urban,Bangalore,"12.87,77.78"
34348,blinkit,"[{""lat"" : 12.85, ""lon"" : 77.59}, {""lat"" : 12.86, ""lon"" : 77.6}, {""lat"" : 12.85, ""lon"" : 77.6}, {""lat"" : 12.84, ""lon"" : 77.59}, {""lat"" : 12.87, ""lon"" : 77.59}, {""lat"" : 12.88, ""lon"" : 77.6}, {""lat"" : 12.86, ""lon"" : 77.59}, {""lat"" : 12.87, ""lon"" : 77.6}]","{""id"" : ""0c3a5d58-e8fb-4c02-8ae6-c2c7cafef244"", ""store_id"" : ""34348"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.84, ""queried_longitude"" : 77.59, ""lat"" : 12.84, ""lng"" : 77.59, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:28:34.370048+00,2025-03-13 02:28:34.370048+00,,"12.86,77.59","{""types"":[""street_address""],""geometry"":{""location"":{""lat"":12.8603258,""lng"":77.5898196},""viewport"":{""northeast"":{""lat"":12.8616747802915,""lng"":77.59116858029151},""southwest"":{""lat"":12.8589768197085,""lng"":77.5884706197085}},""location_type"":""RANGE_INTERPOLATED""},""place_id"":""ElQyNSwgQmFubmVyZ2hhdHRhIFJkLCBIaW1hZ2lyaSBNZWFkb3dzLCBHb3R0aWdlcmUsIEJlbmdhbHVydSwgS2FybmF0YWthIDU2MDA3NiwgSW5kaWEiGhIYChQKEgkfh0uwxmquOxEWcL2u2YZlERAZ"",""formatted_address"":""25, Bannerghatta Rd, Himagiri Meadows, Gottigere, Bengaluru, Kothnur, Karnataka 560076, India"",""address_components"":[{""types"":[""street_number""],""long_name"":""25"",""short_name"":""25""},{""types"":[""route""],""long_name"":""Bannerghatta Road"",""short_name"":""BG Road""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Himagiri Meadows"",""short_name"":""Himagiri Meadows""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Gottigere"",""short_name"":""Gottigere""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560076"",""short_name"":""560076""}]}",Gottigere,Bangalore,"12.86,77.59"
34350,blinkit,"[{""lat"" : 12.93, ""lon"" : 77.61}]","{""id"" : ""6085e9a1-b089-4f7c-bd21-29967e216791"", ""store_id"" : ""34350"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.93, ""queried_longitude"" : 77.61, ""lat"" : 12.93, ""lng"" : 77.61, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:30:09.953075+00,2025-03-13 02:30:09.953075+00,,"12.93,77.61","{""types"":[""street_address""],""geometry"":{""location"":{""lat"":12.93014,""lng"":77.60985099999999},""viewport"":{""northeast"":{""lat"":12.9314889802915,""lng"":77.6111999802915},""southwest"":{""lat"":12.9287910197085,""lng"":77.60850201970848}},""location_type"":""ROOFTOP""},""place_id"":""ChIJqeAfElMUrjsRAcY6RC8IhLs"",""plus_code"":{""global_code"":""7J4VWJJ5+3W"",""compound_code"":""WJJ5+3W Bengaluru, Karnataka, India""},""formatted_address"":""29, Tavarekere, BTM Layout, Bengaluru, Karnataka 560029, India"",""navigation_points"":[{""location"":{""latitude"":12.9301285,""longitude"":77.6098606},""road_name"":""""}],""address_components"":[{""types"":[""premise""],""long_name"":""29"",""short_name"":""29""},{""types"":[""neighborhood"",""political""],""long_name"":""Tavarekere"",""short_name"":""Tavarekere""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""BTM Layout"",""short_name"":""BTM Layout""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560029"",""short_name"":""560029""}]}",BTM Layout,Bangalore,"12.93,77.61"
345,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.908125,77.5480176""","{""full"":""First Floor , PLot no.07,Subramanyapura main road ,Chikkalasandra,Padmanabhanagar,Bangalore-560061""}",Padmanabhanagar,Bangalore,"12.91,77.55"
34540,blinkit,"[{""lat"" : 13.07, ""lon"" : 77.53}, {""lat"" : 13.06, ""lon"" : 77.57}, {""lat"" : 13.07, ""lon"" : 77.54}, {""lat"" : 13.06, ""lon"" : 77.56}, {""lat"" : 13.07, ""lon"" : 77.57}, {""lat"" : 13.07, ""lon"" : 77.59}, {""lat"" : 13.06, ""lon"" : 77.59}, {""lat"" : 13.06, ""lon"" : 77.58}, {""lat"" : 13.07, ""lon"" : 77.56}, {""lat"" : 13.08, ""lon"" : 77.55}, {""lat"" : 13.09, ""lon"" : 77.55}, {""lat"" : 13.07, ""lon"" : 77.55}, {""lat"" : 13.07, ""lon"" : 77.58}, {""lat"" : 13.08, ""lon"" : 77.54}, {""lat"" : 13.09, ""lon"" : 77.54}, {""lat"" : 13.06, ""lon"" : 77.55}, {""lat"" : 13.08, ""lon"" : 77.53}, {""lat"" : 13.09, ""lon"" : 77.53}, {""lat"" : 13.08, ""lon"" : 77.56}]","{""id"" : ""8648589d-7025-40b3-8630-665a68c0458f"", ""store_id"" : ""34540"", ""chain_id"" : ""1383"", ""queried_latitude"" : 13.07, ""queried_longitude"" : 77.53, ""lat"" : 13.07, ""lng"" : 77.53, ""distance"" : 0, ""duration"" : 0, ""rank"" : 2, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 02:09:29.497104+00,2025-03-13 02:09:29.497104+00,,"13.07,77.56","{""types"":[""street_address""],""geometry"":{""location"":{""lat"":13.0699468,""lng"":77.5599014},""viewport"":{""northeast"":{""lat"":13.0712957802915,""lng"":77.56125038029151},""southwest"":{""lat"":13.0685978197085,""lng"":77.5585524197085}},""location_type"":""ROOFTOP""},""place_id"":""ChIJg4klnVQjrjsRDoob-7WdTuI"",""plus_code"":{""global_code"":""7J5V3H95+XX"",""compound_code"":""3H95+XX Bengaluru, Karnataka, India""},""formatted_address"":""Vidyaranyapura, 16, Temple Rd, GD Layout, Ramanna Garden, Doddabommasandra, Vidyaranyapura, Bengaluru, Karnataka 560097, India"",""navigation_points"":[{""location"":{""latitude"":13.0699411,""longitude"":77.5599315},""road_name"":""""}],""address_components"":[{""types"":[""street_number""],""long_name"":""16"",""short_name"":""16""},{""types"":[""route""],""long_name"":""Temple Road"",""short_name"":""Temple Rd""},{""types"":[""neighborhood"",""political""],""long_name"":""GD Layout"",""short_name"":""GD Layout""},{""types"":[""political"",""sublocality"",""sublocality_level_3""],""long_name"":""Ramanna Garden"",""short_name"":""Ramanna Garden""},{""types"":[""political"",""sublocality"",""sublocality_level_2""],""long_name"":""Doddabommasandra"",""short_name"":""Doddabommasandra""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Vidyaranyapura"",""short_name"":""Vidyaranyapura""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560097"",""short_name"":""560097""}]}",Vidyaranyapura,Bangalore,"13.07,77.56"
34542,blinkit,"[{""lat"" : 12.91, ""lon"" : 77.71}, {""lat"" : 12.92, ""lon"" : 77.73}, {""lat"" : 12.92, ""lon"" : 77.72}, {""lat"" : 12.93, ""lon"" : 77.73}, {""lat"" : 12.92, ""lon"" : 77.75}, {""lat"" : 12.91, ""lon"" : 77.73}, {""lat"" : 12.92, ""lon"" : 77.74}, {""lat"" : 12.91, ""lon"" : 77.74}, {""lat"" : 12.93, ""lon"" : 77.74}]","{""id"" : ""7ae4522c-1ba4-46fb-8a0b-93eb12db3bde"", ""store_id"" : ""34542"", ""chain_id"" : ""1383"", ""queried_latitude"" : 12.91, ""queried_longitude"" : 77.71, ""lat"" : 12.91, ""lng"" : 77.71, ""distance"" : 0, ""duration"" : 0, ""rank"" : 1, ""is_nearby_store"" : false, ""city_id"" : 3, ""city_code"" : ""BR"", ""city_name"" : ""Bengaluru"", ""state_id"" : 16, ""state_name"" : ""Karnataka"", ""serviceable"" : true}",2025-03-13 07:35:47.006094+00,2025-03-13 07:35:47.006094+00,,"12.92,77.73","{""types"":[""establishment"",""general_contractor"",""point_of_interest""],""geometry"":{""location"":{""lat"":12.9202221,""lng"":77.7295939},""viewport"":{""northeast"":{""lat"":12.9215710802915,""lng"":77.73094288029151},""southwest"":{""lat"":12.9188731197085,""lng"":77.72824491970849}},""location_type"":""ROOFTOP""},""place_id"":""ChIJ5ehEKwATrjsRGkWfL_XKezo"",""formatted_address"":""WPCH+3RQ, Gunjur Palya, Bengaluru, Karnataka 560087, India"",""navigation_points"":[{""location"":{""latitude"":12.9201814,""longitude"":77.7296887},""road_name"":""""}],""address_components"":[{""types"":[""plus_code""],""long_name"":""WPCH+3RQ"",""short_name"":""WPCH+3RQ""},{""types"":[""political"",""sublocality"",""sublocality_level_1""],""long_name"":""Gunjur Palya"",""short_name"":""Gunjur Palya""},{""types"":[""locality"",""political""],""long_name"":""Bengaluru"",""short_name"":""Bengaluru""},{""types"":[""administrative_area_level_3"",""political""],""long_name"":""Bengaluru Urban"",""short_name"":""Bengaluru Urban""},{""types"":[""administrative_area_level_2"",""political""],""long_name"":""Bangalore Division"",""short_name"":""Bangalore Division""},{""types"":[""administrative_area_level_1"",""political""],""long_name"":""Karnataka"",""short_name"":""KA""},{""types"":[""country"",""political""],""long_name"":""India"",""short_name"":""IN""},{""types"":[""postal_code""],""long_name"":""560087"",""short_name"":""560087""}]}",Gunjur Palya,Bangalore,"12.92,77.73"
